year,code,value,system,subtype
1996,PAV.CAPELIN.CPUE,-1.991,WGOA,abundance
1997,PAV.CAPELIN.CPUE,-1.731,WGOA,abundance
1998,PAV.CAPELIN.CPUE,-1.846,WGOA,abundance
1999,PAV.CAPELIN.CPUE,-2,WGOA,abundance
2000,PAV.CAPELIN.CPUE,-2,WGOA,abundance
2001,PAV.CAPELIN.CPUE,-1.903,WGOA,abundance
2002,PAV.CAPELIN.CPUE,-2,WGOA,abundance
2003,PAV.CAPELIN.CPUE,-2,WGOA,abundance
2004,PAV.CAPELIN.CPUE,-1.408,WGOA,abundance
2005,PAV.CAPELIN.CPUE,-1.807,WGOA,abundance
2006,PAV.CAPELIN.CPUE,-1.888,WGOA,abundance
2007,PAV.CAPELIN.CPUE,-2,WGOA,abundance
2008,PAV.CAPELIN.CPUE,-1.952,WGOA,abundance
2009,PAV.CAPELIN.CPUE,-1.926,WGOA,abundance
2010,PAV.CAPELIN.CPUE,-1.809,WGOA,abundance
2011,PAV.CAPELIN.CPUE,-1.935,WGOA,abundance
2012,PAV.CAPELIN.CPUE,-1.893,WGOA,abundance
2013,PAV.CAPELIN.CPUE,-2,WGOA,abundance
2014,PAV.CAPELIN.CPUE,-2,WGOA,abundance
2015,PAV.CAPELIN.CPUE,-2,WGOA,abundance
1972,PAV.EULACHON.CPUE,-2,WGOA,abundance
1973,PAV.EULACHON.CPUE,-2,WGOA,abundance
1974,PAV.EULACHON.CPUE,-2,WGOA,abundance
1975,PAV.EULACHON.CPUE,-2,WGOA,abundance
1976,PAV.EULACHON.CPUE,-2,WGOA,abundance
1977,PAV.EULACHON.CPUE,-1.836,WGOA,abundance
1978,PAV.EULACHON.CPUE,-1.806,WGOA,abundance
1979,PAV.EULACHON.CPUE,-1.95,WGOA,abundance
1980,PAV.EULACHON.CPUE,-1.943,WGOA,abundance
1981,PAV.EULACHON.CPUE,-1.643,WGOA,abundance
1982,PAV.EULACHON.CPUE,-1.562,WGOA,abundance
1983,PAV.EULACHON.CPUE,-1.662,WGOA,abundance
1984,PAV.EULACHON.CPUE,-2,WGOA,abundance
1985,PAV.EULACHON.CPUE,-1.811,WGOA,abundance
1986,PAV.EULACHON.CPUE,-1.383,WGOA,abundance
1987,PAV.EULACHON.CPUE,-1.562,WGOA,abundance
1988,PAV.EULACHON.CPUE,-2,WGOA,abundance
1989,PAV.EULACHON.CPUE,-1.538,WGOA,abundance
1990,PAV.EULACHON.CPUE,-1.597,WGOA,abundance
1991,PAV.EULACHON.CPUE,-1.539,WGOA,abundance
1992,PAV.EULACHON.CPUE,-1.722,WGOA,abundance
1993,PAV.EULACHON.CPUE,-1.878,WGOA,abundance
1994,PAV.EULACHON.CPUE,-1.76,WGOA,abundance
1995,PAV.EULACHON.CPUE,-1.789,WGOA,abundance
1996,PAV.EULACHON.CPUE,-1.813,WGOA,abundance
1997,PAV.EULACHON.CPUE,-1.843,WGOA,abundance
1998,PAV.EULACHON.CPUE,-1.315,WGOA,abundance
1999,PAV.EULACHON.CPUE,-1.32,WGOA,abundance
2000,PAV.EULACHON.CPUE,-1.653,WGOA,abundance
2001,PAV.EULACHON.CPUE,-1.673,WGOA,abundance
2002,PAV.EULACHON.CPUE,-1.647,WGOA,abundance
2003,PAV.EULACHON.CPUE,-1.617,WGOA,abundance
2004,PAV.EULACHON.CPUE,-1.911,WGOA,abundance
2005,PAV.EULACHON.CPUE,-1.611,WGOA,abundance
2006,PAV.EULACHON.CPUE,-1.937,WGOA,abundance
2007,PAV.EULACHON.CPUE,-1.458,WGOA,abundance
2008,PAV.EULACHON.CPUE,-1.911,WGOA,abundance
2009,PAV.EULACHON.CPUE,-1.752,WGOA,abundance
2010,PAV.EULACHON.CPUE,-0.975,WGOA,abundance
2011,PAV.EULACHON.CPUE,-0.994,WGOA,abundance
2012,PAV.EULACHON.CPUE,-1.607,WGOA,abundance
2013,PAV.EULACHON.CPUE,-1.743,WGOA,abundance
2014,PAV.EULACHON.CPUE,-1.378,WGOA,abundance
2015,PAV.EULACHON.CPUE,-1.829,WGOA,abundance
1972,PAV.JELLY.CPUE,-2,WGOA,abundance
1973,PAV.JELLY.CPUE,-2,WGOA,abundance
1974,PAV.JELLY.CPUE,-2,WGOA,abundance
1975,PAV.JELLY.CPUE,-2,WGOA,abundance
1976,PAV.JELLY.CPUE,-2,WGOA,abundance
1977,PAV.JELLY.CPUE,-1.382,WGOA,abundance
1978,PAV.JELLY.CPUE,-0.996,WGOA,abundance
1979,PAV.JELLY.CPUE,-1.651,WGOA,abundance
1980,PAV.JELLY.CPUE,-1.925,WGOA,abundance
1981,PAV.JELLY.CPUE,-0.51,WGOA,abundance
1982,PAV.JELLY.CPUE,-1.878,WGOA,abundance
1983,PAV.JELLY.CPUE,1.173,WGOA,abundance
1984,PAV.JELLY.CPUE,-0.265,WGOA,abundance
1985,PAV.JELLY.CPUE,-1.89,WGOA,abundance
1986,PAV.JELLY.CPUE,-0.415,WGOA,abundance
1987,PAV.JELLY.CPUE,0.888,WGOA,abundance
1988,PAV.JELLY.CPUE,1.26,WGOA,abundance
1989,PAV.JELLY.CPUE,1.248,WGOA,abundance
1990,PAV.JELLY.CPUE,-1.256,WGOA,abundance
1991,PAV.JELLY.CPUE,1.398,WGOA,abundance
1992,PAV.JELLY.CPUE,1.247,WGOA,abundance
1993,PAV.JELLY.CPUE,1.034,WGOA,abundance
1994,PAV.JELLY.CPUE,0.416,WGOA,abundance
1995,PAV.JELLY.CPUE,0.791,WGOA,abundance
1996,PAV.JELLY.CPUE,1.057,WGOA,abundance
1997,PAV.JELLY.CPUE,0.573,WGOA,abundance
1998,PAV.JELLY.CPUE,-0.202,WGOA,abundance
1999,PAV.JELLY.CPUE,-1.888,WGOA,abundance
2000,PAV.JELLY.CPUE,-1.713,WGOA,abundance
2001,PAV.JELLY.CPUE,-1.633,WGOA,abundance
2002,PAV.JELLY.CPUE,0.661,WGOA,abundance
2003,PAV.JELLY.CPUE,-2,WGOA,abundance
2004,PAV.JELLY.CPUE,-0.786,WGOA,abundance
2005,PAV.JELLY.CPUE,-1.85,WGOA,abundance
2006,PAV.JELLY.CPUE,-2,WGOA,abundance
2007,PAV.JELLY.CPUE,-1.826,WGOA,abundance
2008,PAV.JELLY.CPUE,-1.878,WGOA,abundance
2009,PAV.JELLY.CPUE,-1.595,WGOA,abundance
2010,PAV.JELLY.CPUE,-1.042,WGOA,abundance
2011,PAV.JELLY.CPUE,-1.988,WGOA,abundance
2012,PAV.JELLY.CPUE,-2,WGOA,abundance
2013,PAV.JELLY.CPUE,-2,WGOA,abundance
2014,PAV.JELLY.CPUE,-2,WGOA,abundance
2015,PAV.JELLY.CPUE,-1.448,WGOA,abundance
1977,CHI.SHRIMP.CPUE,1.116,WGOA,abundance
1978,CHI.SHRIMP.CPUE,1.091,WGOA,abundance
1979,CHI.SHRIMP.CPUE,2.416,WGOA,abundance
1980,CHI.SHRIMP.CPUE,1.638,WGOA,abundance
1981,CHI.SHRIMP.CPUE,2.031,WGOA,abundance
1982,CHI.SHRIMP.CPUE,1.046,WGOA,abundance
1983,CHI.SHRIMP.CPUE,-0.089,WGOA,abundance
1984,CHI.SHRIMP.CPUE,-0.085,WGOA,abundance
1985,CHI.SHRIMP.CPUE,0.226,WGOA,abundance
1986,CHI.SHRIMP.CPUE,-1.135,WGOA,abundance
1987,CHI.SHRIMP.CPUE,-0.633,WGOA,abundance
1989,CHI.SHRIMP.CPUE,0.937,WGOA,abundance
1990,CHI.SHRIMP.CPUE,-0.235,WGOA,abundance
1992,CHI.SHRIMP.CPUE,0.684,WGOA,abundance
1995,CHI.SHRIMP.CPUE,1.021,WGOA,abundance
1998,CHI.SHRIMP.CPUE,0.83,WGOA,abundance
2001,CHI.SHRIMP.CPUE,1.462,WGOA,abundance
2002,CHI.SHRIMP.CPUE,0.943,WGOA,abundance
2003,CHI.SHRIMP.CPUE,1.244,WGOA,abundance
2004,CHI.SHRIMP.CPUE,0.139,WGOA,abundance
2005,CHI.SHRIMP.CPUE,0.532,WGOA,abundance
2006,CHI.SHRIMP.CPUE,0.133,WGOA,abundance
2007,CHI.SHRIMP.CPUE,0.145,WGOA,abundance
2008,CHI.SHRIMP.CPUE,0.267,WGOA,abundance
2009,CHI.SHRIMP.CPUE,-0.075,WGOA,abundance
2010,CHI.SHRIMP.CPUE,0.233,WGOA,abundance
2011,CHI.SHRIMP.CPUE,0.523,WGOA,abundance
2012,CHI.SHRIMP.CPUE,0.842,WGOA,abundance
2013,CHI.SHRIMP.CPUE,1.132,WGOA,abundance
2014,CHI.SHRIMP.CPUE,0.174,WGOA,abundance
2015,CHI.SHRIMP.CPUE,0.679,WGOA,abundance
2016,CHI.SHRIMP.CPUE,1.383,WGOA,abundance
1977,CHI.EULACHON.CPUE,-2,WGOA,abundance
1978,CHI.EULACHON.CPUE,-2,WGOA,abundance
1979,CHI.EULACHON.CPUE,-1.451,WGOA,abundance
1980,CHI.EULACHON.CPUE,-1.772,WGOA,abundance
1981,CHI.EULACHON.CPUE,-1.939,WGOA,abundance
1982,CHI.EULACHON.CPUE,-1.389,WGOA,abundance
1983,CHI.EULACHON.CPUE,-1.684,WGOA,abundance
1984,CHI.EULACHON.CPUE,-1.687,WGOA,abundance
1985,CHI.EULACHON.CPUE,-0.594,WGOA,abundance
1986,CHI.EULACHON.CPUE,-1.422,WGOA,abundance
1987,CHI.EULACHON.CPUE,-1.049,WGOA,abundance
1989,CHI.EULACHON.CPUE,-1.043,WGOA,abundance
1990,CHI.EULACHON.CPUE,-2,WGOA,abundance
1992,CHI.EULACHON.CPUE,-1.088,WGOA,abundance
1995,CHI.EULACHON.CPUE,-2,WGOA,abundance
1998,CHI.EULACHON.CPUE,-2,WGOA,abundance
2001,CHI.EULACHON.CPUE,-0.857,WGOA,abundance
2002,CHI.EULACHON.CPUE,-0.331,WGOA,abundance
2003,CHI.EULACHON.CPUE,-1.421,WGOA,abundance
2004,CHI.EULACHON.CPUE,-0.717,WGOA,abundance
2005,CHI.EULACHON.CPUE,-1.355,WGOA,abundance
2006,CHI.EULACHON.CPUE,-1.465,WGOA,abundance
2007,CHI.EULACHON.CPUE,-1.516,WGOA,abundance
2008,CHI.EULACHON.CPUE,-0.994,WGOA,abundance
2009,CHI.EULACHON.CPUE,-0.884,WGOA,abundance
2010,CHI.EULACHON.CPUE,-2,WGOA,abundance
2011,CHI.EULACHON.CPUE,-1.081,WGOA,abundance
2012,CHI.EULACHON.CPUE,-0.722,WGOA,abundance
2013,CHI.EULACHON.CPUE,-0.931,WGOA,abundance
2014,CHI.EULACHON.CPUE,-1.381,WGOA,abundance
2015,CHI.EULACHON.CPUE,-0.18,WGOA,abundance
2016,CHI.EULACHON.CPUE,-0.17,WGOA,abundance
1977,CHI.JELLY.CPUE,-2,WGOA,abundance
1978,CHI.JELLY.CPUE,-2,WGOA,abundance
1979,CHI.JELLY.CPUE,-1.533,WGOA,abundance
1980,CHI.JELLY.CPUE,-1.182,WGOA,abundance
1981,CHI.JELLY.CPUE,-0.714,WGOA,abundance
1982,CHI.JELLY.CPUE,-1.545,WGOA,abundance
1983,CHI.JELLY.CPUE,-0.36,WGOA,abundance
1984,CHI.JELLY.CPUE,0.162,WGOA,abundance
1985,CHI.JELLY.CPUE,-0.933,WGOA,abundance
1986,CHI.JELLY.CPUE,0.567,WGOA,abundance
1987,CHI.JELLY.CPUE,-0.188,WGOA,abundance
1989,CHI.JELLY.CPUE,1.002,WGOA,abundance
1990,CHI.JELLY.CPUE,-2,WGOA,abundance
1992,CHI.JELLY.CPUE,1.219,WGOA,abundance
1995,CHI.JELLY.CPUE,0.39,WGOA,abundance
1998,CHI.JELLY.CPUE,1.401,WGOA,abundance
2001,CHI.JELLY.CPUE,0.735,WGOA,abundance
2002,CHI.JELLY.CPUE,0.932,WGOA,abundance
2003,CHI.JELLY.CPUE,-0.367,WGOA,abundance
2004,CHI.JELLY.CPUE,0.639,WGOA,abundance
2005,CHI.JELLY.CPUE,1.728,WGOA,abundance
2006,CHI.JELLY.CPUE,-0.666,WGOA,abundance
2007,CHI.JELLY.CPUE,0.16,WGOA,abundance
2008,CHI.JELLY.CPUE,1.384,WGOA,abundance
2009,CHI.JELLY.CPUE,-1.124,WGOA,abundance
2010,CHI.JELLY.CPUE,0.119,WGOA,abundance
2011,CHI.JELLY.CPUE,1.095,WGOA,abundance
2012,CHI.JELLY.CPUE,-0.296,WGOA,abundance
2013,CHI.JELLY.CPUE,0.673,WGOA,abundance
2014,CHI.JELLY.CPUE,0.378,WGOA,abundance
2015,CHI.JELLY.CPUE,0.758,WGOA,abundance
2016,CHI.JELLY.CPUE,1.057,WGOA,abundance
1979,SE.HER,23144,EGOA,abundance
1980,SE.HER,41120,EGOA,abundance
1981,SE.HER,42846,EGOA,abundance
1982,SE.HER,28635,EGOA,abundance
1983,SE.HER,33865,EGOA,abundance
1984,SE.HER,40712,EGOA,abundance
1985,SE.HER,33262,EGOA,abundance
1986,SE.HER,27198,EGOA,abundance
1987,SE.HER,45508,EGOA,abundance
1988,SE.HER,55071,EGOA,abundance
1989,SE.HER,33251,EGOA,abundance
1990,SE.HER,23349,EGOA,abundance
1991,SE.HER,31061,EGOA,abundance
1992,SE.HER,46350,EGOA,abundance
1993,SE.HER,25911,EGOA,abundance
1994,SE.HER,17819,EGOA,abundance
1995,SE.HER,28572,EGOA,abundance
1996,SE.HER,31517,EGOA,abundance
1997,SE.HER,36441,EGOA,abundance
1998,SE.HER,43576,EGOA,abundance
1999,SE.HER,49762,EGOA,abundance
2000,SE.HER,53501,EGOA,abundance
2001,SE.HER,53407,EGOA,abundance
2002,SE.HER,57078,EGOA,abundance
2003,SE.HER,71996,EGOA,abundance
2004,SE.HER,88437,EGOA,abundance
2005,SE.HER,84399,EGOA,abundance
2006,SE.HER,77767,EGOA,abundance
2007,SE.HER,80847,EGOA,abundance
2008,SE.HER,90171,EGOA,abundance
2009,SE.HER,103348,EGOA,abundance
2010,SE.HER,96900,EGOA,abundance
2011,SE.HER,87954,EGOA,abundance
2012,SE.HER,64229,EGOA,abundance
2013,SE.HER,68947,EGOA,abundance
2014,SE.HER,53491,EGOA,abundance
2015,SE.HER,55804,EGOA,abundance
2016,SE.HER,74676,EGOA,abundance
1972,SE.CO,5.922,EGOA,production
1973,SE.CO,6.107,EGOA,production
1974,SE.CO,5.631,EGOA,production
1975,SE.CO,5.916,EGOA,production
1976,SE.CO,5.975,EGOA,production
1977,SE.CO,6.234,EGOA,production
1978,SE.CO,6.109,EGOA,production
1979,SE.CO,6.056,EGOA,production
1980,SE.CO,6.148,EGOA,production
1981,SE.CO,6.31,EGOA,production
1982,SE.CO,6.286,EGOA,production
1983,SE.CO,6.266,EGOA,production
1984,SE.CO,6.409,EGOA,production
1985,SE.CO,6.532,EGOA,production
1986,SE.CO,6.188,EGOA,production
1987,SE.CO,6.02,EGOA,production
1988,SE.CO,6.343,EGOA,production
1989,SE.CO,6.458,EGOA,production
1990,SE.CO,6.505,EGOA,production
1991,SE.CO,6.568,EGOA,production
1992,SE.CO,6.564,EGOA,production
1993,SE.CO,6.757,EGOA,production
1994,SE.CO,6.524,EGOA,production
1995,SE.CO,6.499,EGOA,production
1996,SE.CO,6.295,EGOA,production
1997,SE.CO,6.476,EGOA,production
1998,SE.CO,6.56,EGOA,production
1999,SE.CO,6.292,EGOA,production
2000,SE.CO,6.518,EGOA,production
2001,SE.CO,6.511,EGOA,production
2002,SE.CO,6.398,EGOA,production
2003,SE.CO,6.489,EGOA,production
2004,SE.CO,6.478,EGOA,production
2005,SE.CO,6.321,EGOA,production
2006,SE.CO,6.314,EGOA,production
2007,SE.CO,6.377,EGOA,production
2008,SE.CO,6.421,EGOA,production
2009,SE.CO,6.412,EGOA,production
2010,SE.CO,6.364,EGOA,production
2011,SE.CO,6.319,EGOA,production
2012,SE.CO,6.588,EGOA,production
2013,SE.CO,6.579,EGOA,production
2014,SE.CO,6.332,EGOA,production
2015,SE.CO,6.347,EGOA,production
2016,SE.CO,6.439,EGOA,production
1972,PWS.CO,5.299,WGOA,production
1973,PWS.CO,4.881,WGOA,production
1974,PWS.CO,4.925,WGOA,production
1975,PWS.CO,5.205,WGOA,production
1976,PWS.CO,5.254,WGOA,production
1977,PWS.CO,5.495,WGOA,production
1978,PWS.CO,5.499,WGOA,production
1979,PWS.CO,5.528,WGOA,production
1980,PWS.CO,5.599,WGOA,production
1981,PWS.CO,5.799,WGOA,production
1982,PWS.CO,5.531,WGOA,production
1983,PWS.CO,5.763,WGOA,production
1984,PWS.CO,6.01,WGOA,production
1985,PWS.CO,5.629,WGOA,production
1986,PWS.CO,5.245,WGOA,production
1987,PWS.CO,5.68,WGOA,production
